instance,method,sweep,chords,relC
wedge,CN-greedy,54,162,0.9529695018876015
wedge,CN-greedy,55,165,0.9567853443410336
wedge,CN-greedy,56,168,0.9529379226680068
wedge,CN-greedy,57,171,0.9529820689354105
wedge,CN-greedy,58,174,0.9567963041912425
wedge,CN-greedy,59,177,0.9529472233966544
wedge,CN-greedy,60,180,0.9529899519491406
wedge,CN-greedy,61,183,0.9568031790476923
wedge,CN-greedy,62,186,0.9529530575251413
wedge,CN-greedy,63,189,0.9529948967783816
wedge,CN-greedy,64,192,0.9568074914835653
wedge,CN-greedy,65,195,0.9529567171368238
wedge,CN-greedy,66,198,0.9529979985535478
wedge,CN-greedy,67,201,0.9568101965732346
wedge,CN-greedy,68,204,0.952959012725222
wedge,CN-greedy,69,207,0.9529999442242097
wedge,CN-greedy,70,210,0.9568118934124068
wedge,CN-greedy,71,213,0.952960452693871
wedge,CN-greedy,72,216,0.9530011646976866
wedge,CN-greedy,73,219,0.9568129577997389
wedge,CN-greedy,74,222,0.9529613559523615
wedge,CN-greedy,75,225,0.9530019302720143
wedge,CN-greedy,76,228,0.9568136254648979
wedge,CN-greedy,77,231,0.9529619225451832
wedge,CN-greedy,78,234,0.9530024104987969
wedge,CN-greedy,79,237,0.9568140442755584
wedge,CN-greedy,80,240,0.9529622779555439
wedge,CN-greedy,81,243,0.9530027117337712
wedge,CN-greedy,82,246,0.9568143069856434
wedge,CN-greedy,83,249,0.9529625008961105
wedge,CN-greedy,84,252,0.9530029006913908
wedge,CN-greedy,85,255,0.9568144717775053
wedge,CN-greedy,86,258,0.9529626407414878
wedge,CN-greedy,87,261,0.9530030192200644
wedge,CN-greedy,88,264,0.9568145751475668
wedge,CN-greedy,89,267,0.9529627284632064
wedge,CN-greedy,90,270,0.9530030935703157
wedge,CN-greedy,91,273,0.9568146399891775
wedge,CN-greedy,92,276,0.9529627834889784
wedge,CN-greedy,93,279,0.9530031402084808
wedge,CN-greedy,94,282,0.9568146806627951
wedge,CN-greedy,95,285,0.9529628180053527
wedge,CN-greedy,96,288,0.9530031694635063
wedge,CN-greedy,97,291,0.9568147061764005
wedge,CN-greedy,98,294,0.9529628396566618
wedge,CN-greedy,99,297,0.953003187814495
wedge,CN-greedy,100,300,0.956814722180485
wedge,CN-greedy,101,303,0.9529628532380207
wedge,CN-greedy,102,306,0.95300319932564
wedge,CN-greedy,103,309,0.9568147322194707
wedge,CN-greedy,104,312,0.9529628617572867
wedge,CN-greedy,105,315,0.9530032065463098
wedge,CN-greedy,106,318,0.9568147385166909
wedge,CN-greedy,107,321,0.9529628671012225
wedge,CN-greedy,108,324,0.9530032110756671
wedge,CN-greedy,109,327,0.9568147424667893
wedge,CN-greedy,110,330,0.9529628704533479
wedge,CN-greedy,111,333,0.9530032139168266
wedge,CN-greedy,112,336,0.9568147449445935
wedge,CN-greedy,113,339,0.9529628725560574
wedge,CN-greedy,114,342,0.9530032156990186
wedge,CN-greedy,115,345,0.9568147464988613
wedge,CN-greedy,116,348,0.9529628738750372
wedge,CN-greedy,117,351,0.9530032168169461
wedge,CN-greedy,118,354,0.9568147474738168
wedge,CN-greedy,119,357,0.9529628747024026
wedge,CN-greedy,120,360,0.9530032175181952
rand100x10,P,0,0,0.0267551458473357
rand100x10,P,1,110,0.5929604255852694
rand100x10,P,2,220,0.7428281303202192
rand100x10,P,3,330,0.7825807978366488
rand100x10,P,4,440,0.7947194557019042
rand100x10,P,5,550,0.7999900510089436
rand100x10,P,6,660,0.8035035928987652
rand100x10,P,7,770,0.8065232895338332
rand100x10,P,8,880,0.8093627573441208
rand100x10,P,9,990,0.8121145113075804
rand100x10,P,10,1100,0.8148014025693046
rand100x10,P,11,1210,0.8174402317636076
rand100x10,P,12,1320,0.8200317323739504
rand100x10,P,13,1430,0.8207090537496697
rand100x10,P,14,1540,0.8197560318079442
rand100x10,P,15,1650,0.8188499875295849
rand100x10,P,16,1760,0.8179734988861598
rand100x10,P,17,1870,0.8171141489528717
rand100x10,P,18,1980,0.8162832576345583
rand100x10,P,19,2090,0.8154774115725184
rand100x10,P,20,2200,0.8142324660763418
rand100x10,P,21,2310,0.8126386226091696
rand100x10,P,22,2420,0.8111148504256899
rand100x10,P,23,2530,0.8096570674355532
rand100x10,P,24,2640,0.8082671744007955
rand100x10,P,25,2750,0.806946098600924
rand100x10,P,26,2860,0.8056849956789859
rand100x10,P,27,2970,0.8044788030757456
rand100x10,P,28,3080,0.8033208223296106
rand100x10,P,29,3190,0.8022077575245173
rand100x10,P,30,3300,0.8011363610643037
rand100x10,P,31,3410,0.8001078854604136
rand100x10,P,32,3520,0.7991215475867522
rand100x10,P,33,3630,0.7981717302672223
rand100x10,P,34,3740,0.7972556482119222
rand100x10,P,35,3850,0.7963723797665558
rand100x10,P,36,3960,0.795522264526605
rand100x10,P,37,4070,0.7947069497246986
rand100x10,P,38,4180,0.7939253144499095
rand100x10,P,39,4290,0.7931716513575857
rand100x10,P,40,4400,0.7924439595963552
rand100x10,P,41,4510,0.7917416061573246
rand100x10,P,42,4620,0.7910637246332161
rand100x10,P,43,4730,0.7904094194871629
rand100x10,P,44,4840,0.7897778150686882
rand100x10,P,45,4950,0.7891680665440743
rand100x10,P,46,5060,0.7885793615183593
rand100x10,P,47,5170,0.7880128593846695
rand100x10,P,48,5280,0.7874669832631817
rand100x10,P,49,5390,0.7869387533506231
rand100x10,P,50,5500,0.7864269570005155
rand100x10,P,51,5610,0.7859323676302444
rand100x10,P,52,5720,0.7854556019430924
rand100x10,P,53,5830,0.7849945187957544
rand100x10,P,54,5940,0.7845548700633793
rand100x10,P,55,6050,0.7841326991227284
rand100x10,P,56,6160,0.7837269657664453
rand100x10,P,57,6270,0.7833354796382177
rand100x10,P,58,6380,0.7829560437018568
rand100x10,P,59,6490,0.7825909300962756
rand100x10,P,60,6600,0.7822374384952858
rand100x10,P,61,6710,0.7818946050801624
rand100x10,P,62,6820,0.7815609881299923
rand100x10,P,63,6930,0.7812366015170014
rand100x10,P,64,7040,0.7809212226717072
rand100x10,P,65,7150,0.7806145528826047
rand100x10,P,66,7260,0.7803162844707849
rand100x10,P,67,7370,0.7800261167783862
rand100x10,P,68,7480,0.7797437597076387
rand100x10,P,69,7590,0.7794683851485159
rand100x10,P,70,7700,0.7792000870019516
rand100x10,P,71,7810,0.7789387173326013
rand100x10,P,72,7920,0.7786840562290991
rand100x10,P,73,8030,0.7784354250736433
rand100x10,P,74,8140,0.7781928010201314
rand100x10,P,75,8250,0.7779561127128439
rand100x10,P,76,8360,0.7777251886470933
rand100x10,P,77,8470,0.7774998390608471
rand100x10,P,78,8580,0.7772798756708704
rand100x10,P,79,8690,0.7770651162461887
rand100x10,P,80,8800,0.7768553854899627
rand100x10,P,81,8910,0.7766505150296417
rand100x10,P,82,9020,0.7764503431984919
rand100x10,P,83,9130,0.7762544884454591
rand100x10,P,84,9240,0.7760628453577418
rand100x10,P,85,9350,0.7758753609943019
rand100x10,P,86,9460,0.7756919738515033
rand100x10,P,87,9570,0.775512849120237
rand100x10,P,88,9680,0.7753379120235239
rand100x10,P,89,9790,0.7751670340200624
rand100x10,P,90,9900,0.7750007811499627
rand100x10,P,91,10010,0.7748385062381518
rand100x10,P,92,10120,0.7746794788668221
rand100x10,P,93,10230,0.7745234600940567
rand100x10,P,94,10340,0.7743703332128801
rand100x10,P,95,10450,0.7742202432479885
rand100x10,P,96,10560,0.774074674878252
rand100x10,P,97,10670,0.773932606527821
rand100x10,P,98,10780,0.7737937117374564
rand100x10,P,99,10890,0.7736578366683474
rand100x10,P,100,11000,0.773524872557751
rand100x10,P,101,11110,0.7733947244886697
rand100x10,P,102,11220,0.773267303651117
rand100x10,P,103,11330,0.7731424803398896
rand100x10,P,104,11440,0.7730199983580144
rand100x10,P,105,11550,0.7728999247118922
rand100x10,P,106,11660,0.7727822204811624
rand100x10,P,107,11770,0.7726668231160386
rand100x10,P,108,11880,0.7725536664200605
rand100x10,P,109,11990,0.7724426853317125
rand100x10,P,110,12100,0.7723338170010767
rand100x10,P,111,12210,0.7722270009665121
rand100x10,P,112,12320,0.772122179115665
rand100x10,P,113,12430,0.7720192955975859
rand100x10,P,114,12540,0.771918296726497
rand100x10,P,115,12650,0.7718191308869238
rand100x10,P,116,12760,0.7717217484424266
rand100x10,P,117,12870,0.7716261016483088
rand100x10,P,118,12980,0.7715321445682661
rand100x10,P,119,13090,0.7714398329948231
rand100x10,P,120,13200,0.7713491243734064
rand100x10,CN,0,0,0.0267551458473357
rand100x10,CN,1,110,0.3250389089275548
rand100x10,CN,2,220,0.4471906170787286
rand100x10,CN,3,330,0.5149584737120301
rand100x10,CN,4,440,0.5377616992029558
rand100x10,CN,5,550,0.5565177576328396
rand100x10,CN,6,660,0.5716288410816083
rand100x10,CN,7,770,0.5839137554530309
rand100x10,CN,8,880,0.594060453610465
rand100x10,CN,9,990,0.6025111116584687
rand100x10,CN,10,1100,0.6094554957022129
rand100x10,CN,11,1210,0.6151219474762978
rand100x10,CN,12,1320,0.6197674367593331
rand100x10,CN,13,1430,0.6235873923532911
rand100x10,CN,14,1540,0.6269185903330964
rand100x10,CN,15,1650,0.6297264675804671
rand100x10,CN,16,1760,0.6320915924035153
rand100x10,CN,17,1870,0.6340822047890322
rand100x10,CN,18,1980,0.63576859786099
rand100x10,CN,19,2090,0.6372086528951979
rand100x10,CN,20,2200,0.6384499850980351
rand100x10,CN,21,2310,0.6395323424975654
rand100x10,CN,22,2420,0.6404886045700351
rand100x10,CN,23,2530,0.6413458956464438
rand100x10,CN,24,2640,0.6421265932373499
rand100x10,CN,25,2750,0.6428489373104882
rand100x10,CN,26,2860,0.6435364404394195
rand100x10,CN,27,2970,0.6441761146443851
rand100x10,CN,28,3080,0.6447685895287318
rand100x10,CN,29,3190,0.6453193978071794
rand100x10,CN,30,3300,0.6458334336040905
rand100x10,CN,31,3410,0.6463154221901111
rand100x10,CN,32,3520,0.6467679339019258
rand100x10,CN,33,3630,0.6471942106654635
rand100x10,CN,34,3740,0.6475982613406349
rand100x10,CN,35,3850,0.6479828149506041
rand100x10,CN,36,3960,0.6483499835195082
rand100x10,CN,37,4070,0.6487019555870711
rand100x10,CN,38,4180,0.6490453580640704
rand100x10,CN,39,4290,0.649373089170067
rand100x10,CN,40,4400,0.6496861826374086
rand100x10,CN,41,4510,0.6499856170890157
rand100x10,CN,42,4620,0.6502725366616223
rand100x10,CN,43,4730,0.6505492933785256
rand100x10,CN,44,4840,0.6508160980382769
rand100x10,CN,45,4950,0.6510734398621287
rand100x10,CN,46,5060,0.651321864519847
rand100x10,CN,47,5170,0.6515620578645004
rand100x10,CN,48,5280,0.650590931680193
rand100x10,CN,49,5390,0.6495373131576347
rand100x10,CN,50,5500,0.6484743366877364
rand100x10,CN,51,5610,0.6473996119486404
rand100x10,CN,52,5720,0.6463135910645094
rand100x10,CN,53,5830,0.6452169343491552
rand100x10,CN,54,5940,0.6441101448156272
rand100x10,CN,55,6050,0.6429952576635547
rand100x10,CN,56,6160,0.6419262619053138
rand100x10,CN,57,6270,0.6408703829451805
rand100x10,CN,58,6380,0.6398284679198667
rand100x10,CN,59,6490,0.6388012228314871
rand100x10,CN,60,6600,0.6377890124469919
rand100x10,CN,61,6710,0.6367923897616586
rand100x10,CN,62,6820,0.6358109698442422
rand100x10,CN,63,6930,0.6348444334359112
rand100x10,CN,64,7040,0.6338928479240751
rand100x10,CN,65,7150,0.6329561153946476
rand100x10,CN,66,7260,0.6320340011152683
rand100x10,CN,67,7370,0.6311262709647242
rand100x10,CN,68,7480,0.6302326777100528
rand100x10,CN,69,7590,0.6293529729333313
rand100x10,CN,70,7700,0.6284868723028116
rand100x10,CN,71,7810,0.627634076467322
rand100x10,CN,72,7920,0.626794275201867
rand100x10,CN,73,8030,0.6259671508137721
rand100x10,CN,74,8140,0.6251523809386866
rand100x10,CN,75,8250,0.6243496408329796
rand100x10,CN,76,8360,0.6235586052502505
rand100x10,CN,77,8470,0.6227789499742525
rand100x10,CN,78,8580,0.6220103530678144
rand100x10,CN,79,8690,0.6212525366984287
rand100x10,CN,80,8800,0.6205053418087728
rand100x10,CN,81,8910,0.619768347465959
rand100x10,CN,82,9020,0.6190412435930629
rand100x10,CN,83,9130,0.6183237102653
rand100x10,CN,84,9240,0.6176154756140525
rand100x10,CN,85,9350,0.6169162525863805
rand100x10,CN,86,9460,0.6162257605744783
rand100x10,CN,87,9570,0.6155437255348699
rand100x10,CN,88,9680,0.614869880066754
rand100x10,CN,89,9790,0.6142039634562694
rand100x10,CN,90,9900,0.6135457216922879
rand100x10,CN,91,10010,0.6128949144510781
rand100x10,CN,92,10120,0.6122513036520203
rand100x10,CN,93,10230,0.6116145403779305
rand100x10,CN,94,10340,0.6109844086829621
rand100x10,CN,95,10450,0.6103606985573542
rand100x10,CN,96,10560,0.6097431968488839
rand100x10,CN,97,10670,0.6091316967207876
rand100x10,CN,98,10780,0.6085259900376807
rand100x10,CN,99,10890,0.6079312738431751
rand100x10,CN,100,11000,0.6073438634073948
rand100x10,CN,101,11110,0.6067634427913097
rand100x10,CN,102,11220,0.6061900222434593
rand100x10,CN,103,11330,0.6056235866461214
rand100x10,CN,104,11440,0.6050640936705289
rand100x10,CN,105,11550,0.6045114798020521
rand100x10,CN,106,11660,0.6039656652108507
rand100x10,CN,107,11770,0.6034265576846286
rand100x10,CN,108,11880,0.6028940557995685
rand100x10,CN,109,11990,0.6023680514725736
rand100x10,CN,110,12100,0.6018483699055756
rand100x10,CN,111,12210,0.6013350033588316
rand100x10,CN,112,12320,0.6008279244193088
rand100x10,CN,113,12430,0.6003270322902956
rand100x10,CN,114,12540,0.5998322151686901
rand100x10,CN,115,12650,0.5993433624830043
rand100x10,CN,116,12760,0.5988603347938307
rand100x10,CN,117,12870,0.5983830158828708
rand100x10,CN,118,12980,0.5979112964078986
rand100x10,CN,119,13090,0.5974446056833055
rand100x10,CN,120,13200,0.5969830599483411
rand100x10,HYB,0,0,0.0267551458473357
rand100x10,HYB,1,110,0.3250389089275548
rand100x10,HYB,2,220,0.4471906170787286
rand100x10,HYB,3,330,0.5149584737120301
rand100x10,HYB,4,440,0.5377616992029558
