rep,copies,method,drift
16,2,P,1.136676837616481
16,2,CN,1.1109310559606078
16,2,P-w,7.380152278562771e-15
16,2,CN-w,1.1261594270122373
16,2,analytic,0.43481354668123107
16,2,chebyshev,0.0
16,5,P,2.0783020105929046
16,5,CN,1.1142320793905582
16,5,P-w,1.443032497106571e-14
16,5,CN-w,1.1438617851928097
16,5,analytic,0.8785194176565002
16,5,chebyshev,0.0
17,2,P,0.8077913738724887
17,2,CN,1.2293885161805904
17,2,P-w,3.2356092446241747e-15
17,2,CN-w,1.1937046059290235
17,2,analytic,0.37225682089938245
17,2,chebyshev,0.0
17,5,P,1.62148728234447
17,5,CN,1.2318421505337092
17,5,P-w,5.414631549621404e-15
17,5,CN-w,1.139173216882534
17,5,analytic,0.7529001102822349
17,5,chebyshev,0.0
18,2,P,1.0222095933494109
18,2,CN,1.1791248082261805
18,2,P-w,7.836084489927951e-15
18,2,CN-w,1.213573856437527
18,2,analytic,0.40384557083390443
18,2,chebyshev,0.0
18,5,P,1.5344377859551752
18,5,CN,1.1769343068919127
18,5,P-w,2.0194450017235996e-14
18,5,CN-w,1.2393834484134436
18,5,analytic,0.809263061707826
18,5,chebyshev,0.0
19,2,P,0.687143014033321
19,2,CN,1.5096656723592783
19,2,P-w,3.4017813867630465e-15
19,2,CN-w,1.3094061255774894
19,2,analytic,0.3802279743801396
19,2,chebyshev,0.0
19,5,P,1.5114696821575124
19,5,CN,1.3253985905880472
19,5,P-w,1.0734407288218994e-14
19,5,CN-w,1.3042401586411272
19,5,analytic,0.7465418744781381
19,5,chebyshev,0.0
20,2,P,0.6095934747375448
20,2,CN,0.9039586873951168
20,2,P-w,5.7353049889796406e-15
20,2,CN-w,0.9608293204345171
20,2,analytic,0.3755546584099106
20,2,chebyshev,0.0
20,5,P,1.194421172968334
20,5,CN,0.9039800183606607
20,5,P-w,1.0050309960609838e-14
20,5,CN-w,1.1706686321709412
20,5,analytic,0.7723189287352851
20,5,chebyshev,0.0
21,2,P,0.8036445093837128
21,2,CN,2.2303217069884416
21,2,P-w,7.476031336513219e-15
21,2,CN-w,2.220507051291877
21,2,analytic,0.41136219628348014
21,2,chebyshev,0.0
21,5,P,1.541993673991903
21,5,CN,2.227737912812406
21,5,P-w,1.1059556822475871e-14
21,5,CN-w,2.212217881093263
21,5,analytic,0.8268500941781063
21,5,chebyshev,0.0
22,2,P,0.9324793582278337
22,2,CN,1.5107383870633702
22,2,P-w,3.2177751663326413e-15
22,2,CN-w,1.4780745273216696
22,2,analytic,0.39170403671282705
22,2,chebyshev,0.0
22,5,P,1.7248098527560207
22,5,CN,1.509740973432202
22,5,P-w,6.447148017929456e-15
22,5,CN-w,1.4558380590237214
22,5,analytic,0.7683335233966975
22,5,chebyshev,0.0
23,2,P,0.22538225529085518
23,2,CN,0.8963925641264338
23,2,P-w,5.7655880649311784e-15
23,2,CN-w,0.931901325053577
23,2,analytic,0.4390561827661107
23,2,chebyshev,0.0
23,5,P,0.6681427368780906
23,5,CN,0.8968306355144672
23,5,P-w,1.3032401523039142e-14
23,5,CN-w,1.001620277272718
23,5,analytic,0.9171702544853784
23,5,chebyshev,0.0
24,2,P,0.38158422717820234
24,2,CN,1.5239676076297313
24,2,P-w,4.014400812476432e-15
24,2,CN-w,1.5140811593176726
24,2,analytic,0.3911386531443512
24,2,chebyshev,0.0
24,5,P,1.2793841012667666
24,5,CN,1.5220562944725828
24,5,P-w,4.289117615543912e-15
24,5,CN-w,1.464369594018794
24,5,analytic,0.7773186655903398
24,5,chebyshev,0.0
25,2,P,0.9351762623892731
25,2,CN,1.6866241554618977
25,2,P-w,3.374599594366241e-15
25,2,CN-w,1.699156478666931
25,2,analytic,0.3974353720808259
25,2,chebyshev,0.0
25,5,P,1.7546393503445372
25,5,CN,1.681534456600601
25,5,P-w,6.551066170603906e-15
25,5,CN-w,1.692991663962692
25,5,analytic,0.7906841761225615
25,5,chebyshev,0.0
26,2,P,0.7635744553955258
26,2,CN,1.1476120179515015
26,2,P-w,4.051290104557346e-15
26,2,CN-w,1.154952656775964
26,2,analytic,0.3919779629246938
