geometry,method,omega,sweeps,relC,converged
aniso50x5,CN,1.4,228,0.506728146442767,1
aniso50x5,P,1.6,205,0.5935752264855442,1
aniso50x5,CN,1.6,206,0.5062379625185411,1
aniso50x5,P,1.8,187,0.5931824848606647,1
aniso50x5,CN,1.8,188,0.5059098920698919,1
aniso50x5,P,0.6,424,0.5885327358549979,1
aniso50x5,CN,0.6,426,0.5917632696335946,1
aniso50x5,P,0.8,347,0.5863778285333164,1
aniso50x5,CN,0.8,348,0.5896705826243481,1
aniso50x5,P,1.0,295,0.5851236290261255,1
aniso50x5,CN,1.0,296,0.5884117899076211,1
aniso50x5,P,1.2,258,0.5842616041410487,1
aniso50x5,CN,1.2,259,0.5875437198493415,1
aniso50x5,P,1.4,230,0.5836423829997774,1
aniso50x5,CN,1.4,231,0.5869175001674888,1
aniso50x5,P,1.6,208,0.5831752293079681,1
aniso50x5,CN,1.6,208,0.586505562880951,1
aniso50x5,P,1.8,190,0.5828226975692238,1
aniso50x5,CN,1.8,190,0.5861464606501069,1
aniso50x5,P,0.6,384,0.736914543817161,1
aniso50x5,CN,0.6,301,0.6608858273010662,1
aniso50x5,P,0.8,311,0.735932638983885,1
aniso50x5,CN,0.8,236,0.6591891817066808,1
aniso50x5,P,1.0,263,0.7353471216695212,1
aniso50x5,CN,1.0,194,0.658172651099584,1
aniso50x5,P,1.2,228,0.734986385233726,1
aniso50x5,CN,1.2,165,0.657417482670244,1
aniso50x5,P,1.4,203,0.7346826599113099,1
aniso50x5,CN,1.4,143,0.6570002282251949,1
aniso50x5,P,1.6,183,0.734473338673343,1
aniso50x5,CN,1.6,126,0.6567285844102182,1
aniso50x5,P,1.8,166,0.7343469381694475,1
aniso50x5,CN,1.8,114,0.6561628828399251,1
aniso50x5,P,0.6,397,0.578989279214737,1
aniso50x5,CN,0.6,404,0.471220994139869,1
aniso50x5,P,0.8,326,0.5760530837742335,1
aniso50x5,CN,0.8,331,0.46919413526948883,1
aniso50x5,P,1.0,278,0.57432016142224,1
aniso50x5,CN,1.0,282,0.46798809169174643,1
aniso50x5,P,1.2,243,0.5731936659715905,1
aniso50x5,CN,1.2,247,0.4671638573912367,1
aniso50x5,P,1.4,217,0.5723465836081736,1
aniso50x5,CN,1.4,220,0.46660067551227064,1
aniso50x5,P,1.6,196,0.5717545818158768,1
aniso50x5,CN,1.6,199,0.46616220114650736,1
aniso50x5,P,1.8,179,0.5712914598622071,1
aniso50x5,CN,1.8,182,0.46581978977415683,1
aniso50x5,P,0.6,406,0.7334832434472015,1
aniso50x5,CN,0.6,361,0.7387260469047235,1
aniso50x5,P,0.8,330,0.730893030425534,1
aniso50x5,CN,0.8,297,0.737317825513579,1
aniso50x5,P,1.0,279,0.7294078485526936,1
aniso50x5,CN,1.0,254,0.7359274720811165,1
aniso50x5,P,1.2,243,0.7283803621267443,1
aniso50x5,CN,1.2,223,0.7348511892106772,1
aniso50x5,P,1.4,216,0.7276328729208172,1
aniso50x5,CN,1.4,199,0.7340614557430146,1
aniso50x5,P,1.6,195,0.7270576097212453,1
aniso50x5,CN,1.6,181,0.73334465669327,1
aniso50x5,P,1.8,178,0.7266147394966229,1
aniso50x5,CN,1.8,165,0.7329243249316982,1
aniso50x5,P,0.6,370,0.6914377519236627,1
aniso50x5,CN,0.6,383,0.6187557006970716,1
aniso50x5,P,0.8,300,0.6892717611268948,1
aniso50x5,CN,0.8,313,0.6168143608793756,1
aniso50x5,P,1.0,255,0.6877701603132016,1
aniso50x5,CN,1.0,266,0.6156345604258023,1
aniso50x5,P,1.2,222,0.6868073821386225,1
aniso50x5,CN,1.2,233,0.6147645724319857,1
aniso50x5,P,1.4,197,0.6861211599935687,1
aniso50x5,CN,1.4,207,0.6141867347207826,1
aniso50x5,P,1.6,178,0.6855487325578129,1
aniso50x5,CN,1.6,187,0.6137054469303217,1
aniso50x5,P,1.8,162,0.6851646820969057,1
aniso50x5,CN,1.8,171,0.6133028252882072,1
aniso50x5,P,0.6,375,0.6535667791281331,1
aniso50x5,CN,0.6,334,0.4834086629199969,1
aniso50x5,P,0.8,304,0.6522712357307113,1
aniso50x5,CN,0.8,264,0.48129545323363404,1
aniso50x5,P,1.0,257,0.6515556954687133,1
aniso50x5,CN,1.0,219,0.4798862808567369,1
aniso50x5,P,1.2,224,0.6510799566060175,1
aniso50x5,CN,1.2,187,0.47895218399713785,1
aniso50x5,P,1.4,199,0.6507578296307498,1
aniso50x5,CN,1.4,164,0.47809251840613287,1
aniso50x5,P,1.6,180,0.6504954476593465,1
aniso50x5,CN,1.6,145,0.47767948571803975,1
aniso50x5,P,1.8,164,0.6503239276301591,1
aniso50x5,CN,1.8,131,0.4770745073314458,1
aniso50x5,P,0.6,406,0.6105047829427188,1
aniso50x5,CN,0.6,397,0.5224573757574399,1
aniso50x5,P,0.8,327,0.6093312578777778,1
aniso50x5,CN,0.8,320,0.5206290963242949,1
aniso50x5,P,1.0,276,0.6086020480036458,1
aniso50x5,CN,1.0,269,0.5195137069289388,1
aniso50x5,P,1.2,240,0.608109382698354,1
aniso50x5,CN,1.2,233,0.5187173715249502,1
aniso50x5,P,1.4,213,0.6077576601174481,1
aniso50x5,CN,1.4,207,0.5180360434321922,1
aniso50x5,P,1.6,192,0.607490058923899,1
aniso50x5,CN,1.6,186,0.5175604703477049,1
aniso50x5,P,1.8,174,0.6073320237241294,1
aniso50x5,CN,1.8,169,0.517205510149137,1
