tag,sweep,chords,x,y
wedge_narrow_HYB,40,120,1.4459506292553954,3.264729791699997
wedge_wide_P,0,0,0.7,3.0
wedge_wide_P,1,3,1.2811785388691301,3.3210639182220425
wedge_wide_P,2,6,1.3581617322885444,3.3493428887689514
wedge_wide_P,3,9,1.3746671525627068,3.344211763256324
wedge_wide_P,4,12,1.3831616574361114,3.336137911797819
wedge_wide_P,5,15,1.3899385987791255,3.328598008212435
wedge_wide_P,6,18,1.395831597057561,3.321898274255245
wedge_wide_P,7,21,1.4010193829206186,3.3159831470033563
wedge_wide_P,8,24,1.4055939399921902,3.3107651979218535
wedge_wide_P,9,27,1.4096286530819748,3.3061627803855473
wedge_wide_P,10,30,1.4131873351308457,3.3021033456328936
wedge_wide_P,11,33,1.416326162614156,3.298522841097144
wedge_wide_P,12,36,1.4190946715959152,3.295364763677418
wedge_wide_P,13,39,1.4215365523837855,3.292579275619783
wedge_wide_P,14,42,1.4236903405341073,3.290122418915496
wedge_wide_P,15,45,1.4255900251646674,3.2879554217011626
wedge_wide_P,16,48,1.427265585361088,3.28604408640907
wedge_wide_P,17,51,1.4287434632818379,3.2843582500939177
wedge_wide_P,18,54,1.4300469814444876,3.2828713084289785
wedge_wide_P,19,57,1.4311967107803831,3.2815597958609675
wedge_wide_P,20,60,1.4322107952662726,3.280403015298146
wedge_wide_P,21,63,1.4331052382559533,3.279382711487752
wedge_wide_P,22,66,1.4338941550305624,3.278482782928297
wedge_wide_CN,0,0,0.7,3.0
wedge_wide_CN,1,3,1.1449763897507592,3.686482236301867
wedge_wide_CN,2,6,1.1962437787797837,3.60676873862298
wedge_wide_CN,3,9,1.2383067668784211,3.541366775159041
wedge_wide_CN,4,12,1.2733639855897767,3.4888772594282007
wedge_wide_CN,5,15,1.3055374134996325,3.453163642644505
wedge_wide_CN,6,18,1.3318400094064415,3.4239668522600897
wedge_wide_CN,7,21,1.3533430507788202,3.400097733265099
wedge_wide_CN,8,24,1.370922334203942,3.3805841211832335
wedge_wide_CN,9,27,1.3852938456747668,3.3646312468202795
wedge_wide_CN,10,30,1.3970429219574145,3.3515893661386023
wedge_wide_CN,11,33,1.4066480907509484,3.3409272968559596
wedge_wide_CN,12,36,1.4145005606245615,3.3322107839417154
wedge_wide_CN,13,39,1.4209201545371137,3.3250848128595485
wedge_wide_CN,14,42,1.4261683358947472,3.319259150193357
wedge_wide_CN,15,45,1.430458857684413,3.3144965227410523
wedge_wide_CN,16,48,1.4339664684114741,3.3106029536229706
wedge_wide_CN,17,51,1.4368340294252018,3.3074198618046204
wedge_wide_CN,18,54,1.4391783335134551,3.3048176032555188
wedge_wide_CN,19,57,1.4410948617518755,3.302690190682204
wedge_wide_CN,20,60,1.4426616723491295,3.30095097677563
wedge_wide_CN,21,63,1.4439425798768426,3.2995291251560803
wedge_wide_CN,22,66,1.4449897543709573,3.2983667252808395
wedge_wide_CN,23,69,1.4458458461632209,3.2974164338078196
wedge_wide_HYB,0,0,0.7,3.0
wedge_wide_HYB,1,3,1.1449763897507592,3.686482236301867
wedge_wide_HYB,2,6,1.1962437787797837,3.60676873862298
wedge_wide_HYB,3,9,1.2383067668784211,3.541366775159041
wedge_wide_HYB,4,12,1.2733639855897767,3.4888772594282007
wedge_wide_HYB,5,15,1.3055374134996325,3.453163642644505
wedge_wide_HYB,6,18,1.3318400094064415,3.4239668522600897
wedge_wide_HYB,7,21,1.3533430507788202,3.400097733265099
wedge_wide_HYB,8,24,1.370922334203942,3.3805841211832335
wedge_wide_HYB,9,27,1.3852938456747668,3.3646312468202795
wedge_wide_HYB,10,30,1.3970429219574145,3.3515893661386023
wedge_wide_HYB,11,33,1.4066480907509484,3.3409272968559596
wedge_wide_HYB,12,36,1.4145005606245615,3.3322107839417154
wedge_wide_HYB,13,39,1.4034926800376544,3.316890982187807
wedge_wide_HYB,14,42,1.4061245340189517,3.3105999074148595
wedge_wide_HYB,15,45,1.4099018743876857,3.3059030200269213
wedge_wide_HYB,16,48,1.4134053425168462,3.301860785499528
wedge_wide_HYB,17,51,1.4165157384338822,3.298307311776155
wedge_wide_HYB,18,54,1.4192615614416197,3.2951744753034675
wedge_wide_HYB,19,57,1.4216837148606138,3.2924114153509834
wedge_wide_HYB,20,60,1.4238201363575687,3.2899743601643756
wedge_wide_HYB,21,63,1.4257045071761174,3.287824830586194
wedge_wide_HYB,22,66,1.4273665607444688,3.2859289023729317
wedge_wide_HYB,23,69,1.4288325256012377,3.28425665544434
wedge_wide_HYB,24,72,1.4301255362073952,3.282781699896475
wedge_wide_HYB,25,75,1.43126599766709,3.281480759326153
wedge_wide_HYB,26,78,1.432271907699154,3.280333303478782
wedge_wide_HYB,27,81,1.4331591406555384,3.2793212242556753
wedge_wide_HYB,28,84,1.4339416980352198,3.2784285499482535
rand_P,0,0,0.012589122219652709,0.012589122219652709
rand_P,1,27,0.31788141179740714,0.31409092935509936
rand_P,2,54,0.3504020373072483,0.3508338653428954
rand_P,3,81,0.3522669601213142,0.35730171716604786
rand_P,4,108,0.3508663480327816,0.36008005385807895
rand_P,5,135,0.3492784710794284,0.3622089259244391
rand_P,6,162,0.34788434406440544,0.36411343941133745
rand_P,7,189,0.34666156486546335,0.3658189749547989
rand_P,8,216,0.34557757132218714,0.3673349157553454
rand_P,9,243,0.3446153057212226,0.3686810701116798
rand_P,10,270,0.34376095191955625,0.3698763122227972
rand_P,11,297,0.3430023918733482,0.3709375443671338
rand_P,12,324,0.34232888293888053,0.3718797898924009
rand_CN,0,0,0.012589122219652709,0.012589122219652709
rand_CN,1,27,0.3926568314813034,0.2779170398706036
rand_CN,2,54,0.3785097412462608,0.2950937344708853
rand_CN,3,81,0.3659941527566532,0.31046206610351107
rand_CN,4,108,0.35590236170332784,0.3246842063758727
rand_CN,5,135,0.34910552451280213,0.33829537954316524
rand_CN,6,162,0.3434673396404891,0.35038036255554056
rand_CN,7,189,0.3387526338601621,0.36112549928817167
rand_CN,8,216,0.3346167198667867,0.37055152997680196
rand_CN,9,243,0.3310035053395037,0.378836559729318
rand_CN,10,270,0.32783533918500646,0.3861130727425039
rand_CN,11,297,0.3250538022828501,0.392501591676862
rand_CN,12,324,0.32261171207647776,0.3981104834771918
rand_CN,13,351,0.3204977320236924,0.4030745038101428
rand_CN,14,378,0.3186615585898811,0.407481106407444
rand_CN,15,405,0.3170439787226594,0.41138137706363076
rand_CN,16,432,0.31561364283834664,0.41483016941764106
rand_CN,17,459,0.3143488763910083,0.4178797446265345
rand_CN,18,486,0.3132305137855127,0.42057631432400605
rand_CN,19,513,0.31224160795234296,0.4229607408867998
rand_CN,20,540,0.3113671735407561,0.4250691566413369
rand_CN,21,567,0.3105939598387837,0.42693351139368935
rand_CN,22,594,0.30991024997902084,0.42858205657987464
rand_CN,23,621,0.3093056833874762,0.4300397733730253
rand_CN,24,648,0.30877109878496906,0.43132875123474285
rand_CN,25,675,0.3082983953619963,0.43246852264699814
rand_CN,26,702,0.3078804100233952,0.4334763590969304
rand_CN,27,729,0.3075108088426234,0.43436753279973633
rand_HYB,0,0,0.012589122219652709,0.012589122219652709
rand_HYB,1,27,0.3926568314813034,0.2779170398706036
rand_HYB,2,54,0.3785097412462608,0.2950937344708853
rand_HYB,3,81,0.3659941527566532,0.31046206610351107
rand_HYB,4,108,0.35590236170332784,0.3246842063758727
rand_HYB,5,135,0.34910552451280213,0.33829537954316524
rand_HYB,6,162,0.3434673396404891,0.35038036255554056
rand_HYB,7,189,0.3387526338601621,0.36112549928817167
rand_HYB,8,216,0.3346167198667867,0.37055152997680196
rand_HYB,9,243,0.3388838632524372,0.3754144157680595
rand_HYB,10,270,0.33912535997972504,0.37629785036996377
