m,n,rep,method,sweeps,chords,seconds,relC_final,converged
100,10,9,P,67,6700,0.32264179998310283,0.818422686659268,1
100,10,9,CN,100,10000,0.6630721000256017,0.660710991103514,1
100,10,9,CN-rand,30,3000,0.22796750004636124,0.698404948947034,0
100,10,9,CN-greedy,30,3000,0.3025334000121802,0.973731256167777,0
100,10,9,analytic,0,0,0,0.2536059659219863,1
100,10,10,P,52,5200,0.28574529994511977,0.7978333544858892,1
100,10,10,CN,100,10000,1.108949700021185,0.6419632175065104,1
100,10,10,CN-rand,30,3000,0.3228538000257686,0.7867732651103139,0
100,10,10,CN-greedy,30,3000,0.43356440000934526,0.982337863066516,0
100,10,10,analytic,0,0,0,0.39505438443435464,1
100,10,11,P,43,4300,0.38011239998741075,0.817077731851361,1
100,10,11,CN,93,9300,0.9311621999950148,0.6531035065262905,1
100,10,11,CN-rand,30,3000,0.33316659997217357,0.7481508790714693,0
100,10,11,CN-greedy,30,3000,0.31236869998974726,0.9764370888755832,0
100,10,11,analytic,0,0,0,0.32196687421026626,1
100,10,12,P,64,6400,0.38153669994790107,0.8130884971388364,1
100,10,12,CN,229,22900,2.0765310999704525,0.7358979444675982,1
100,10,12,CN-rand,30,3000,0.22386669996194541,0.6977526335143625,0
100,10,12,CN-greedy,30,3000,0.2552750000031665,0.9859587682451356,0
100,10,12,analytic,0,0,0,0.3047945923681474,1
100,10,13,P,54,5400,0.34346559998812154,0.833632778339853,1
100,10,13,CN,201,20100,2.0642185999895446,0.5932621487527693,1
100,10,13,CN-rand,30,3000,0.24207239999668673,0.658358507464328,0
100,10,13,CN-greedy,30,3000,0.26300089998403564,0.989763427456093,0
100,10,13,analytic,0,0,0,0.45777975886177696,1
100,10,14,P,71,7100,0.6112151999841444,0.7983054273500737,1
100,10,14,CN,132,13200,1.0706465999828652,0.6393595242469612,1
100,10,14,CN-rand,30,3000,0.20144009997602552,0.7549932063510929,0
100,10,14,CN-greedy,30,3000,0.313407699984964,0.9777078862561573,0
100,10,14,analytic,0,0,0,0.3048758715928499,1
100,10,15,P,55,5500,0.24957680003717542,0.7918878580738686,1
100,10,15,CN,160,16000,0.9354236000217497,0.6532010538823897,1
100,10,15,CN-rand,30,3000,0.17761389998486266,0.7977976357854902,0
100,10,15,CN-greedy,30,3000,0.21660819998942316,0.9720324283098594,0
100,10,15,analytic,0,0,0,0.2785545790816461,1
100,10,16,P,55,5500,0.20755719998851418,0.8160992193700928,1
100,10,16,CN,225,22500,1.2408939999877475,0.5498980357374992,1
100,10,16,CN-rand,30,3000,0.16121349995955825,0.8021967262185606,0
100,10,16,CN-greedy,30,3000,0.2555630999850109,0.9677043233696581,0
100,10,16,analytic,0,0,0,0.4903107653307579,1
100,10,17,P,59,5900,0.30512209999142215,0.8553459230009974,1
100,10,17,CN,93,9300,0.5537401999463327,0.6356281928975458,1
100,10,17,CN-rand,30,3000,0.1764116000267677,0.6122450733522782,0
100,10,17,CN-greedy,30,3000,0.2915122999693267,0.9859049053733058,0
