m,n,rep,method,sweeps,chords,seconds,relC_final,relC@5,relC@30,converged
200,20,17,CN,14,3080,0.17359590000705793,0.43685384299403013,0.401636417011419,0.43685384299403013,1
200,20,17,HYB,5,1100,0.0498037000070326,0.5304497427032207,0.5304497427032207,0.5304497427032207,1
200,20,17,CN-rand,30,6600,0.3812069999985397,0.44273223888561836,0.39247428307567084,0.44273223888561836,0
200,20,17,CN-greedy,30,6600,0.4861881000106223,0.35675075722272254,0.1890187063888594,0.35675075722272254,0
200,20,17,analytic,0,0,0.0011328000109642744,0.17328734850651253,nan,nan,1
200,20,17,chebyshev,0,0,0.008752199995797127,1.0,nan,nan,1
200,20,18,P,4,880,0.03268840000964701,0.7610724864962859,0.7610724864962859,0.7610724864962859,1
200,20,18,CN,11,2420,0.12970150000182912,0.4632454560790997,0.37033885807030975,0.4632454560790997,1
200,20,18,HYB,5,1100,0.04823839996242896,0.4681883096576271,0.4681883096576271,0.4681883096576271,1
200,20,18,CN-rand,30,6600,0.3747116000158712,0.4137924707059475,0.4097601958445322,0.4137924707059475,0
200,20,18,CN-greedy,30,6600,0.501652600010857,0.44163356794663533,0.14245827803100694,0.44163356794663533,0
200,20,18,analytic,0,0,0.0009531999821774662,0.16436148225990208,nan,nan,1
200,20,18,chebyshev,0,0,0.008007400028873235,1.0,nan,nan,1
200,20,19,P,4,880,0.035991700016893446,0.7765594219246925,0.7765594219246925,0.7765594219246925,1
200,20,19,CN,25,5500,0.32285009999759495,0.5852562980975616,0.44841712375400666,0.5852562980975616,1
200,20,19,HYB,5,1100,0.05114370002411306,0.511657311050086,0.511657311050086,0.511657311050086,1
200,20,19,CN-rand,30,6600,0.390298799960874,0.22286027128441366,0.40768644903597784,0.22286027128441366,0
200,20,19,CN-greedy,30,6600,0.5166960000060499,0.4144680159324719,0.1501676013293392,0.4144680159324719,0
200,20,19,analytic,0,0,0.0009577999589964747,0.17882805984541889,nan,nan,1
200,20,19,chebyshev,0,0,0.009333299996796995,1.0,nan,nan,1
200,20,20,P,5,1100,0.04067999997641891,0.7701142269989184,0.7701142269989184,0.7701142269989184,1
200,20,20,CN,12,2640,0.1559421000420116,0.5773516706660597,0.5606652738266129,0.5773516706660597,1
200,20,20,HYB,5,1100,0.05380009999498725,0.5540048034505615,0.5540048034505615,0.5540048034505615,1
200,20,20,CN-rand,30,6600,0.3930050000199117,0.26747698365207134,0.28433363821781404,0.26747698365207134,0
200,20,20,CN-greedy,30,6600,0.5250066000153311,0.41969080804897985,0.1719623351203553,0.41969080804897985,0
200,20,20,analytic,0,0,0.0009554999996908009,0.16255262615013671,nan,nan,1
200,20,20,chebyshev,0,0,0.00902749999659136,1.0,nan,nan,1
200,20,21,P,4,880,0.04037800000514835,0.7649980941046808,0.7649980941046808,0.7649980941046808,1
200,20,21,CN,15,3300,0.20085110003128648,0.5122025265226269,0.37220950941990527,0.5122025265226269,1
200,20,21,HYB,5,1100,0.05246330000227317,0.4666908073635731,0.4666908073635731,0.4666908073635731,1
200,20,21,CN-rand,30,6600,0.39160269999410957,0.4270835297734029,0.3932974972803428,0.4270835297734029,0
200,20,21,CN-greedy,30,6600,0.5101817999966443,0.46210239265922753,0.15277088468640426,0.46210239265922753,0
200,20,21,analytic,0,0,0.0017751000123098493,0.16835560813103928,nan,nan,1
200,20,21,chebyshev,0,0,0.008133800001814961,1.0,nan,nan,1
200,20,22,P,4,880,0.03440400003455579,0.7590405773684655,0.7590405773684655,0.7590405773684655,1
200,20,22,CN,40,8800,0.5259379000053741,0.5984744180799699,0.4845794907684435,0.5994819809695422,1
200,20,22,HYB,5,1100,0.049797300016507506,0.5132835757020615,0.5132835757020615,0.5132835757020615,1
200,20,22,CN-rand,30,6600,0.3930131000233814,0.41472511389296557,0.3999632692732628,0.41472511389296557,0
200,20,22,CN-greedy,30,6600,0.5006552999839187,0.4155167181981172,0.20454477091762602,0.4155167181981172,0
200,20,22,analytic,0,0,0.0009686999837867916,0.17990477999073745,nan,nan,1
200,20,22,chebyshev,0,0,0.009381900017615408,1.0,nan,nan,1
200,20,23,P,4,880,0.033102600020356476,0.7420569782252845,0.7420569782252845,0.7420569782252845,1
200,20,23,CN,11,2420,0.13377750001382083,0.5200928007995518,0.4717643787386179,0.5200928007995518,1
200,20,23,HYB,5,1100,0.04853570001432672,0.5484619355133898,0.5484619355133898,0.5484619355133898,1
200,20,23,CN-rand,30,6600,0.3692516000010073,0.35503203444438464,0.3866404874272711,0.35503203444438464,0
200,20,23,CN-greedy,30,6600,0.5013228000025265,0.4333438225962866,0.17874761499597042,0.4333438225962866,0
200,20,23,analytic,0,0,0.0009700000518932939,0.17203576606190418,nan,nan,1
200,20,23,chebyshev,0,0,0.008416999946348369,1.0,nan,nan,1
200,20,24,P,4,880,0.03429479995975271,0.7624897634963578,0.7624897634963578,0.7624897634963578,1
200,20,24,CN,14,3080,0.17974180000601336,0.5577887388120383,0.4919592199363036,0.5577887388120383,1
200,20,24,HYB,5,1100,0.05227839999133721,0.5740168375759751,0.5740168375759751,0.5740168375759751,1
200,20,24,CN-rand,30,6600,0.3742428999976255,0.29025888435893044,0.2770414998085086,0.29025888435893044,0
200,20,24,CN-greedy,30,6600,0.48662949999561533,0.3293167495871805,0.14518038600815963,0.3293167495871805,0
200,20,24,analytic,0,0,0.0009523999760858715,0.1734721349272004,nan,nan,1
200,20,24,chebyshev,0,0,0.010563399991951883,1.0,nan,nan,1
200,20,25,P,4,880,0.03191349998814985,0.7456089424888112,0.7456089424888112,0.7456089424888112,1
200,20,25,CN,12,2640,0.14451909996569157,0.5710326986611947,0.4834402955751089,0.5710326986611947,1
200,20,25,HYB,5,1100,0.048646299983374774,0.5034899881991632,0.5034899881991632,0.5034899881991632,1
200,20,25,CN-rand,30,6600,0.3662373999832198,0.4024704770257408,0.42049779665472486,0.4024704770257408,0
200,20,25,CN-greedy,30,6600,0.4959507000166923,0.37315857067141844,0.15168535640020822,0.37315857067141844,0
200,20,25,analytic,0,0,0.000951400026679039,0.16494367250246525,nan,nan,1
200,20,25,chebyshev,0,0,0.008307799987960607,1.0,nan,nan,1
200,20,26,P,5,1100,0.06934490002458915,0.7636812615691553,0.7636812615691553,0.7636812615691553,1
200,20,26,CN,27,5940,0.3550419000093825,0.5964703910757284,0.3834509742945266,0.5964703910757284,1
200,20,26,HYB,6,1320,0.06000330002279952,0.47158834577108383,0.46037634246329834,0.47158834577108383,1
200,20,26,CN-rand,30,6600,0.38139529997715726,0.4002633374131759,0.35570395266695315,0.4002633374131759,0
200,20,26,CN-greedy,30,6600,0.5121785000083037,0.383503319258622,0.16940411900335572,0.383503319258622,0
200,20,26,analytic,0,0,0.0009605000377632678,0.1599612759742873,nan,nan,1
200,20,26,chebyshev,0,0,0.008041399996727705,1.0,nan,nan,1
200,20,27,P,4,880,0.03268969996133819,0.7599946133912555,0.7599946133912555,0.7599946133912555,1
200,20,27,CN,12,2640,0.14574840001296252,0.5218035586350105,0.45569113219433627,0.5218035586350105,1
200,20,27,HYB,5,1100,0.04865329997846857,0.5184526542500545,0.5184526542500545,0.5184526542500545,1
200,20,27,CN-rand,30,6600,0.36747950001154095,0.3314146787296193,0.4007612500913464,0.3314146787296193,0
200,20,27,CN-greedy,30,6600,0.4936239999951795,0.3091784801421843,0.15123347992705272,0.3091784801421843,0
200,20,27,analytic,0,0,0.0011943000135943294,0.17393035850197236,nan,nan,1
200,20,27,chebyshev,0,0,0.008300899993628263,1.0,nan,nan,1
200,20,28,P,4,880,0.04022429999895394,0.7367382426150274,0.7367382426150274,0.7367382426150274,1
200,20,28,CN,15,3300,0.1882323999889195,0.5664347400736889,0.5202811499867208,0.5664347400736889,1
200,20,28,HYB,5,1100,0.05058500001905486,0.5571792459696802,0.5571792459696802,0.5571792459696802,1
200,20,28,CN-rand,30,6600,0.38387560000410303,0.23963991635554419,0.27641456638334294,0.23963991635554419,0
200,20,28,CN-greedy,30,6600,0.5249796999851242,0.32497045946131303,0.1302772059522556,0.32497045946131303,0
200,20,28,analytic,0,0,0.0010284999734722078,0.16550834367567155,nan,nan,1
200,20,28,chebyshev,0,0,0.007976200024131685,1.0,nan,nan,1
200,20,29,P,4,880,0.03626859997166321,0.7624601742342011,0.7624601742342011,0.7624601742342011,1
200,20,29,CN,47,10340,0.6066963000339456,0.6393250222741983,0.4672601504284355,0.6082782675639853,1
200,20,29,HYB,5,1100,0.05019129998981953,0.49404511700029174,0.49404511700029174,0.49404511700029174,1
200,20,29,CN-rand,30,6600,0.38015000004088506,0.42291739135452355,0.5133395123544349,0.42291739135452355,0
200,20,29,CN-greedy,30,6600,0.5006968000088818,0.3581529751601545,0.16197985703328294,0.3581529751601545,0
200,20,29,analytic,0,0,0.0009590999688953161,0.17625082166291123,nan,nan,1
200,20,29,chebyshev,0,0,0.00812080001924187,1.0,nan,nan,1
500,20,0,P,4,2080,0.09140200004912913,0.774943525073656,0.774943525073656,0.774943525073656,1
500,20,0,CN,10,5200,0.34132929996121675,0.5370887455200665,0.46869848581274487,0.5370887455200665,1
500,20,0,HYB,5,2600,0.136728800018318,0.5501589867614625,0.5501589867614625,0.5501589867614625,1
500,20,0,CN-rand,30,15600,1.2620243999990635,0.4506836635917924,0.4808492281270998,0.4506836635917924,0
500,20,0,CN-greedy,30,15600,1.7579341999953613,0.3441035204828715,0.12993924944662938,0.3441035204828715,0
500,20,0,analytic,0,0,0.0011774000013247132,0.07918977407353908,nan,nan,1
500,20,0,chebyshev,0,0,0.016246399958617985,1.0,nan,nan,1
500,20,1,P,4,2080,0.10259190003853291,0.7658485828107234,0.7658485828107234,0.7658485828107234,1
500,20,1,CN,9,4680,0.34228779998375103,0.5313416428667437,0.45316692471359077,0.5313416428667437,1
500,20,1,HYB,5,2600,0.15268489997833967,0.4978241099721387,0.4978241099721387,0.4978241099721387,1
500,20,1,CN-rand,30,15600,1.12209169997368,0.5578722118441628,0.41116461176540164,0.5578722118441628,0
500,20,1,CN-greedy,30,15600,1.915044300025329,0.43689977873750935,0.17207966435445812,0.43689977873750935,0
500,20,1,analytic,0,0,0.0013783000176772475,0.08162565282098025,nan,nan,1
